iter	Passed	Remaining
601	2868	1896
602	2875	1893
603	2882	1889
604	2889	1886
605	2896	1883
606	2903	1879
607	2905	1873
608	2908	1867
609	2915	1863
610	2924	1861
611	2931	1858
612	2938	1854
613	2942	1850
614	2949	1846
615	2958	1844
616	2966	1841
617	2973	1837
618	2979	1833
619	2986	1830
620	2993	1826
621	3000	1823
622	3005	1818
623	3013	1815
624	3020	1812
625	3023	1806
626	3025	1799
627	3032	1796
628	3038	1792
629	3043	1787
630	3050	1783
631	3056	1779
632	3063	1775
633	3066	1770
634	3070	1764
635	3074	1759
636	3076	1753
637	3079	1747
638	3081	1741
639	3086	1736
640	3089	1730
641	3091	1723
642	3098	1720
643	3105	1716
644	3112	1712
645	3118	1708
646	3125	1705
647	3131	1701
648	3139	1698
649	3153	1698
650	3165	1696
651	3169	1691
652	3172	1686
653	3180	1682
654	3182	1676
655	3191	1673
656	3198	1669
657	3208	1667
658	3213	1662
659	3217	1657
660	3224	1653
661	3230	1649
662	3234	1644
663	3238	1638
664	3241	1632
665	3245	1627
666	3250	1622
667	3253	1617
668	3258	1611
669	3263	1607
670	3266	1601
671	3269	1595
672	3271	1589
673	3276	1584
674	3280	1579
675	3282	1573
676	3287	1568
677	3289	1562
678	3293	1557
679	3297	1551
680	3304	1547
681	3311	1543
682	3316	1539
683	3322	1534
684	3328	1530
685	3336	1526
686	3343	1523
687	3350	1519
688	3351	1512
689	3357	1508
690	3363	1504
691	3375	1502
692	3379	1496
693	3384	1492
694	3386	1486
695	3388	1479
696	3390	1473
697	3392	1467
698	3393	1461
699	3395	1455
700	3397	1449
701	3399	1442
702	3402	1437
703	3403	1431
704	3409	1426
705	3411	1420
706	3414	1414
707	3424	1412
708	3432	1408
709	3434	1402
710	3436	1396
711	3437	1390
712	3439	1384
713	3440	1378
714	3442	1372
715	3443	1366
716	3445	1360
717	3447	1354
718	3448	1347
719	3450	1341
720	3452	1335
721	3453	1329
722	3455	1324
723	3457	1317
724	3458	1311
725	3460	1306
726	3463	1300
727	3466	1295
728	3471	1290
729	3473	1284
730	3474	1278
731	3477	1273
732	3479	1267
733	3480	1261
734	3482	1255
735	3484	1249
736	3488	1244
737	3492	1239
738	3495	1234
739	3500	1229
740	3502	1224
741	3504	1218
742	3506	1212
743	3508	1207
744	3510	1201
745	3512	1195
746	3514	1190
747	3515	1184
748	3517	1178
749	3519	1173
750	3520	1167
751	3522	1161
752	3524	1156
753	3526	1150
754	3528	1144
755	3531	1139
756	3533	1134
757	3534	1128
758	3536	1122
759	3538	1117
760	3540	1111
761	3542	1106
762	3543	1100
763	3545	1095
764	3547	1089
765	3548	1084
766	3550	1078
767	3552	1073
768	3554	1067
769	3555	1062
770	3556	1056
771	3558	1051
772	3564	1046
773	3566	1041
774	3567	1035
775	3569	1030
776	3575	1026
777	3578	1021
778	3580	1015
779	3581	1010
780	3583	1004
781	3588	1000
782	3594	996
783	3597	991
784	3599	985
785	3601	980
786	3610	977
787	3614	972
788	3616	967
789	3618	961
790	3620	956
791	3622	951
792	3625	946
793	3627	941
794	3633	936
795	3634	931
796	3636	926
797	3638	921
798	3640	915
799	3641	910
800	3643	905
801	3645	900
802	3647	894
803	3648	889
804	3650	884
805	3652	879
806	3653	873
807	3655	868
808	3657	863
809	3659	858
810	3660	853
811	3662	848
812	3664	842
813	3666	837
814	3672	833
815	3673	828
816	3675	823
817	3676	818
818	3678	813
819	3680	807
820	3682	802
821	3683	797
822	3685	792
823	3686	787
824	3688	782
825	3690	777
826	3692	772
827	3694	767
828	3696	762
829	3700	758
830	3702	752
831	3708	748
832	3716	744
833	3719	740
834	3722	735
835	3729	731
836	3737	727
837	3745	724
838	3751	719
839	3758	715
840	3760	710
841	3767	706
842	3772	702
843	3778	698
844	3788	694
845	3790	690
846	3800	686
847	3805	682
848	3810	677
849	3817	673
850	3822	669
851	3827	664
852	3832	660
853	3837	656
854	3841	651
855	3845	646
856	3849	642
857	3853	637
858	3857	633
859	3861	628
860	3864	623
861	3869	619
862	3871	614
863	3878	610
864	3880	605
865	3884	600
866	3887	596
867	3889	591
868	3893	586
869	3897	582
870	3899	577
871	3903	573
872	3905	568
873	3910	563
874	3912	558
875	3916	554
876	3919	549
877	3923	545
878	3925	540
879	3929	535
880	3934	531
881	3939	526
882	3941	522
883	3943	517
884	3948	513
885	3953	508
886	3956	504
887	3960	499
888	3963	494
889	3967	490
890	3970	485
891	3973	481
892	3976	476
893	3981	472
894	3984	467
895	3988	463
896	3992	458
897	3995	453
898	4002	449
899	4010	445
900	4019	441
901	4022	437
902	4025	432
903	4029	427
904	4032	423
905	4035	418
906	4038	414
907	4041	409
908	4044	404
909	4047	400
910	4050	395
911	4053	391
912	4056	386
913	4061	382
914	4069	378
915	4073	373
916	4077	369
917	4084	364
918	4096	361
919	4106	357
920	4113	352
921	4115	348
922	4119	343
923	4127	339
924	4132	335
925	4136	330
926	4138	325
927	4148	321
928	4157	317
929	4160	313
930	4167	308
931	4172	304
932	4184	300
933	4190	296
934	4195	291
935	4199	287
936	4206	282
937	4215	278
938	4224	274
939	4229	269
940	4232	265
941	4238	260
942	4241	256
943	4243	251
944	4246	247
945	4249	242
946	4254	238
947	4260	233
948	4262	229
949	4268	224
950	4271	220
951	4275	215
952	4278	211
953	4282	206
954	4286	201
955	4289	197
956	4292	192
957	4294	188
958	4299	183
959	4303	179
960	4306	174
961	4311	170
962	4320	165
963	4329	161
964	4335	157
965	4337	152
966	4339	148
967	4347	143
968	4350	139
969	4352	134
970	4357	130
971	4361	125
972	4366	121
973	4371	116
974	4376	112
975	4381	107
976	4388	103
977	4395	98
978	4402	94
979	4407	89
980	4410	85
981	4415	80
982	4420	76
983	4423	71
984	4430	67
985	4433	62
986	4436	58
987	4442	53
988	4447	49
989	4453	44
990	4455	40
991	4460	35
992	4465	31
993	4469	26
994	4479	22
995	4484	18
996	4490	13
997	4493	9
998	4495	4
999	4500	0
