iter	RMSE
0	46.7771935
1	45.97411671
2	45.15300519
3	44.40636733
4	43.66880558
5	42.95710332
6	42.30955425
7	41.70222511
8	41.10265696
9	40.61399424
10	40.06055172
11	39.53980154
12	39.08146114
13	38.67383991
14	38.25481996
15	37.88629708
16	37.53487646
17	37.19481802
18	36.86435297
19	36.54137959
20	36.223164
21	35.97312462
22	35.71490969
23	35.43854951
24	35.18955324
25	34.95985718
26	34.75108216
27	34.54434065
28	34.35571607
29	34.15438019
30	33.98147796
31	33.8179589
32	33.64552507
33	33.51464065
34	33.37803795
35	33.23251752
36	33.10837571
37	32.96709187
38	32.8265693
39	32.68796676
40	32.58371888
41	32.50129445
42	32.38557256
43	32.25392693
44	32.15948817
45	32.05732871
46	31.97107027
47	31.8810391
48	31.79924829
49	31.68943817
50	31.63219429
51	31.54931042
52	31.47511269
53	31.39009775
54	31.31143265
55	31.24752879
56	31.15984703
57	31.09308876
58	31.02316131
59	30.97883841
60	30.93522081
61	30.88895891
62	30.81525074
63	30.75691319
64	30.70456405
65	30.64031518
66	30.56483204
67	30.49624899
68	30.46234567
69	30.41368537
70	30.36359462
71	30.32168372
72	30.2749572
73	30.23203143
74	30.17901658
75	30.11411576
76	30.06840639
77	30.02525529
78	29.97388743
79	29.93885064
80	29.89787104
81	29.8505226
82	29.81441278
83	29.76740056
84	29.71228722
85	29.66513597
86	29.61762341
87	29.59913925
88	29.56866899
89	29.5226281
90	29.47405898
91	29.43593753
92	29.37566008
93	29.32265254
94	29.28414745
95	29.2459045
96	29.19427655
97	29.14661547
98	29.09714691
99	29.05737138
100	29.01650481
101	28.97100452
102	28.92995029
103	28.87020094
104	28.84112211
105	28.80887593
106	28.76219833
107	28.74223861
108	28.70884527
109	28.68337728
110	28.65085448
111	28.61464265
112	28.58746605
113	28.56540348
114	28.53825652
115	28.51610964
116	28.49242786
117	28.45827312
118	28.43588954
119	28.40870684
120	28.38588036
121	28.35249469
122	28.32507453
123	28.2923664
124	28.2657954
125	28.24326337
126	28.21712438
127	28.18350906
128	28.15710317
129	28.12735352
130	28.07912562
131	28.04254931
132	28.01933681
133	27.98163351
134	27.95344476
135	27.92737288
136	27.89177085
137	27.86947779
138	27.84366128
139	27.82499803
140	27.80110632
141	27.78776421
142	27.74690616
143	27.72730954
144	27.67066477
145	27.64573659
146	27.62354714
147	27.59895175
148	27.56634689
149	27.54565878
150	27.51452715
151	27.49865178
152	27.47528674
153	27.42588521
154	27.39244152
155	27.36041634
156	27.34444732
157	27.32890899
158	27.30383991
159	27.26840865
160	27.23828868
161	27.19861251
162	27.16428297
163	27.14007618
164	27.1058731
165	27.07445522
166	27.05174655
167	27.0307311
168	27.00595511
169	26.95779476
170	26.92325286
171	26.89151163
172	26.87513141
173	26.84616886
174	26.82598034
175	26.80169559
176	26.77407319
177	26.75334829
178	26.73537247
179	26.70983608
180	26.691252
181	26.67324688
182	26.65010994
183	26.62313571
184	26.58964391
185	26.56630022
186	26.5500707
187	26.51669312
188	26.4860008
189	26.46118991
190	26.4420869
191	26.40854958
192	26.38182252
193	26.34241775
194	26.31492623
195	26.3031671
196	26.25622154
197	26.22001324
198	26.18121054
199	26.16184414
200	26.12382393
